epoch,seconds,learning_rate,train_dice,train_iou,train_precision,train_recall,train_loss,val_dice,val_iou,val_precision,val_recall,val_loss
1,3.94,0.001,0.8352986033842817,0.7171783306961039,0.7797678636984937,0.899344960256235,0.3269573381968907,0.883662958049805,0.7915736241324413,0.8432329735278012,0.9281651338088487,0.34014816997481173
2,1.54,0.001,0.8927119693866985,0.8062147740297038,0.8675873213872338,0.919335195203406,0.21773175171443393,0.803629715616999,0.6717232332725914,0.6861366803246844,0.9696755254379564,3.554581180947726
3,1.54,0.001,0.9030726300462567,0.8232747716782185,0.8888136136899486,0.9177966134796789,0.1869937073332923,0.8868670434933392,0.7967305597316867,0.847721811871496,0.9298025139030895,0.3293444509388971
4,1.54,0.001,0.9099315780691358,0.8347472138100765,0.8870668391439301,0.9340062105735992,0.17375503931726727,0.9127007578898683,0.8394200258234168,0.8752934640405742,0.9534481370226037,0.21133012116932479
5,1.58,0.001,0.9172995533966695,0.8472330054674309,0.9032779150633538,0.9317633732398493,0.1585130592754909,0.9165459069118271,0.8459480773194491,0.9117346655430775,0.9214081956852228,0.20432502959595353
6,1.53,0.001,0.9137949936893143,0.8412730454935342,0.9001488460640674,0.9278612581294065,0.1607727267060961,0.9151135888665839,0.8435109698816624,0.8841614073086496,0.9483114975317288,0.1955780846173646
7,1.52,0.001,0.9176000436761199,0.8477458247435035,0.9096760102320639,0.9256633400386696,0.15244494421141488,0.9157563346718068,0.8446038136590022,0.9116329121576688,0.9199172281180378,0.1963371561198938
8,1.54,0.001,0.9219447631422529,0.8551925092720518,0.9065596746290229,0.9378610628283499,0.14635278531483242,0.9191316201851428,0.8503640566694916,0.903471472547365,0.9353442280521521,0.19301124381237342
9,1.52,0.001,0.9236927261434755,0.8582054108338275,0.9104769486034694,0.9372978145811769,0.1424092091832842,0.9198738615542962,0.8516355903376157,0.9172491768833418,0.9225136102644942,0.18557435274124146
10,1.53,0.001,0.9157360683423945,0.8445693355698292,0.9022190430810275,0.9296642774837411,0.15605750960963113,0.9162322029495248,0.8454137550895068,0.8993090806542583,0.9338044563092818,0.19390247688918819
11,1.54,0.001,0.9185382346426932,0.8493487833471535,0.9090715033327824,0.9282042067847587,0.15221183529921942,0.9211029502875455,0.8537449894158448,0.9171232760726995,0.9251173130373035,0.18343685958229128
12,1.54,0.001,0.9218627694709061,0.8550514195845956,0.9084492086499,0.9356783782200262,0.14779332901750292,0.9184186091247748,0.8491442408985812,0.9283146706019604,0.9087313110509735,0.1968717321020658
13,1.5,0.001,0.9263988457133804,0.8628892042584926,0.9122802898390465,0.9409612718004804,0.1388712339741843,0.9221940196280576,0.8556215463842719,0.8963908655518518,0.949526721506292,0.18606827982136462
14,1.5,0.001,0.9271177940612929,0.8641375436459223,0.914765160124232,0.9398086049645529,0.1345367449096271,0.9200568452348501,0.8519493282356425,0.9136401041390959,0.9265643568463717,0.1829317554098661
15,1.52,0.001,0.92790466410288,0.8655057372546233,0.9187598382157942,0.9372333652325059,0.13361253585134233,0.9244908866226696,0.859584428549907,0.9162658038228774,0.9328649759273403,0.17207460374128622
16,1.54,0.001,0.9279454281659202,0.86557667169721,0.9155347264963146,0.940697224771986,0.13419527364628656,0.9246137536629399,0.8597968932672555,0.9110571058384911,0.9385799449000857,0.1713681018254796
17,1.53,0.001,0.9274551133538556,0.8647238217264868,0.9156976932322045,0.9395183875944769,0.13660221295697347,0.9045605804032198,0.8257513507558265,0.9328892300192404,0.8779017132705874,0.22243360808638277
18,1.53,0.001,0.9258778128224567,0.8619855579516272,0.9115191790766277,0.9406960529656465,0.1389319183570998,0.9234319650180033,0.8577553252669681,0.9188185641776405,0.9280919275453208,0.1764465169828446
19,1.52,0.001,0.9292296363705832,0.8678141158305166,0.9182519076283778,0.9404730191590337,0.132345621074949,0.9226655751400015,0.8564337626730005,0.905408643117874,0.9405931171471031,0.1824791377685109
20,1.52,0.001,0.9318147017700569,0.8723343256213489,0.9213937480214593,0.9424740737847391,0.12632740386894772,0.9233029778468173,0.8575327681322945,0.9086686026317469,0.93841645091154,0.1762984202044909
21,1.53,0.001,0.9306617841740477,0.8703156498107649,0.9216984308733456,0.9398011835244029,0.12753878733941487,0.9249710921896352,0.8604150878822695,0.9059865260458226,0.9447683143769781,0.16908773902009744
22,1.55,0.001,0.9307887494975663,0.8705377436499839,0.9193580465546553,0.9425072749643576,0.12785453596285412,0.9201109147128748,0.8520420543636035,0.8987418647021731,0.9425208820866713,0.17915047729601624
23,1.54,0.001,0.9284006866346879,0.8663692436672855,0.9189267680101199,0.9380719879694549,0.13301439310823168,0.9242967193825464,0.859248768723658,0.9218010513899608,0.9268059375160139,0.17085255267190153
24,1.54,0.001,0.931088957492209,0.871063091749679,0.9179872648603834,0.9445700447239419,0.1272255223563739,0.9253565145449757,0.861082328297149,0.9122031712313178,0.9388947318332557,0.16782798434867233
25,1.51,0.001,0.9295437236057975,0.8683621592998975,0.9171745913821547,0.9422510399781263,0.13349338114261627,0.925055375569012,0.8605609577876454,0.9162760634859838,0.9340045534295914,0.17116571425414476
26,1.52,0.001,0.9314487046152243,0.8716930189858766,0.9203795643818066,0.9427873366794914,0.1271108392732484,0.9264066322370209,0.8629027153617318,0.9213821069527752,0.9314862579642315,0.16555234618851397
27,1.5,0.001,0.930121105796654,0.8693704594380669,0.9176093937849378,0.9429787317149386,0.12996779944215503,0.9228900108297541,0.8568205848139098,0.8997867408437645,0.947210963370026,0.17547881432244036
28,1.53,0.001,0.9319291026246916,0.872534870966737,0.9231728270288646,0.9408530750151358,0.1250739243200847,0.9244440338332794,0.8595034223351448,0.9210626397397419,0.9278503468756787,0.16878140558961963
29,1.51,0.001,0.9320815356957197,0.8728021537701808,0.920064964197771,0.9444161474913579,0.12594452594007766,0.9244043642841238,0.8594348411137563,0.9169233428481574,0.9320084626440638,0.1700105520545459
30,1.53,0.001,0.9329218066537858,0.8742768922381104,0.9209888393800172,0.945168056559186,0.12320933026926859,0.9227776953239081,0.856626985273366,0.9055635296687911,0.9406590027842783,0.17428727252561538
31,1.54,0.001,0.9325441504122548,0.8736137899964727,0.9230310954282638,0.9422553366013711,0.12374037640435355,0.9251246678732334,0.8606808996563036,0.9125987934673451,0.9379991752094309,0.17015155368163937
32,1.52,0.0005,0.9330132592016803,0.8744375384680035,0.9233910518012538,0.9428381149542019,0.12397115894726345,0.9252043689826687,0.8608188778241782,0.9093417728678078,0.9416302058804151,0.16880141540628965
33,1.5,0.0005,0.9334579448640339,0.8752190692987102,0.9234113429883228,0.9437255629552956,0.12244081314120973,0.925545156193023,0.8614090778479423,0.9220729524653729,0.9290436089711835,0.16707900239795934
34,1.51,0.0005,0.9344082652862878,0.8768914349146404,0.9236560645719429,0.945413745288362,0.12196032690150398,0.9267166553714905,0.863440823906804,0.9176431746517826,0.9359713617097078,0.164370988236099
35,1.57,0.0005,0.9347326566881977,0.8774629791824968,0.9242771507148111,0.9454274163623225,0.11978383021695273,0.9264924641382906,0.86305166306503,0.908389160239831,0.945332002606143,0.16661283153979506
36,1.51,0.0005,0.9341786786276225,0.8764871370979437,0.9242412078590047,0.9443321680370291,0.12163326876504081,0.926726153460502,0.8634573146904658,0.915513985755888,0.9382163537912304,0.16560097893730538
37,1.53,0.0005,0.9337133163435845,0.8756681769125896,0.9238300605615709,0.9438103236138508,0.12132734652076449,0.9256632303731063,0.8616136546220788,0.9146661902209517,0.9369279235531393,0.16690690986445691
38,1.51,0.0005,0.9338581445926107,0.875922973904602,0.925437486191914,0.9424334511649708,0.12232692331075669,0.9267774038374704,0.8635463017190504,0.9147789129390959,0.9390948289535652,0.16385701640707548
39,1.53,0.0005,0.935347057716709,0.878546445107954,0.9243804892004005,0.9465769583813448,0.11886011787823268,0.925312316735126,0.8610057890717149,0.9208389519625328,0.9298293561997164,0.16772754832369383
40,1.49,0.00025,0.9352910416230574,0.878447611682378,0.9248837658712002,0.9459351991094271,0.11858573513371604,0.9266754647350727,0.8633693112273284,0.9074885849021296,0.9466911988989778,0.16528670758497518
41,1.52,0.00025,0.93550221523032,0.8788202555374315,0.9262965590893061,0.94489268206941,0.11810486810547965,0.9268356831074446,0.8636475034794124,0.9165825524431305,0.9373207971674057,0.16393520621979824
42,1.53,0.00025,0.9359142645634863,0.8795477971326733,0.9261105351456423,0.9459277776692772,0.11833916821650096,0.9268362526801119,0.8636484925947103,0.9141652089499456,0.9398634947206083,0.16409441047027462
43,1.53,0.00025,0.9356565404399657,0.8790926763685253,0.926509081815421,0.9449864265765677,0.1179885180933135,0.9265208672946811,0.8631009575004199,0.9131003466602847,0.9403417756423239,0.16407010985202478
44,1.52,0.00025,0.9360440599464106,0.8797770891708767,0.9271869996712057,0.9450719684393493,0.11709134118897574,0.9269192314641932,0.8637926041009499,0.9152894380621817,0.9388483678663546,0.1637184097141516
45,1.51,0.00025,0.9357090604594538,0.8791854047572734,0.9253712187709845,0.9462804913774584,0.11840324129377093,0.9269472572131047,0.8638412822147674,0.9184244439227935,0.935629732479911,0.16325928050963606
46,1.51,0.00025,0.9358986787935296,0.8795202676117481,0.9255590917633182,0.9464718864129055,0.1182002910545894,0.9271010325840575,0.8641084209606086,0.913912214735824,0.9406760842457681,0.16292874637197274
47,1.52,0.00025,0.9360860144341511,0.8798512164837162,0.9250204889664675,0.9474194871394255,0.11873136226619993,0.9269393511988716,0.8638275499474237,0.9159767373710179,0.9381675496155452,0.16372057868808995
